,일시,기상온도,기상습도,tem_in_loc1,hum_in_loc1,tem_coil_loc1,tem_out_loc1,hum_out_loc1,cond_loc1,24시간,48시간,24,48
0,2016-04-01 00:00:00,8.4,92.3,14.0,70.0,12.0,9.0,75.0,0,2016-04-07 9:00,2016-04-06 9:00,,
1,2016-04-01 03:00:00,9.3,92.3,15.0,70.0,12.0,11.0,75.0,0,2016-04-08 9:00,2016-04-07 9:00,,
2,2016-04-01 06:00:00,8.2,93.4,12.0,67.7,11.7,7.59,88.49,0,2016-11-10 6:00,2016-11-09 6:00,,
3,2016-04-01 09:00:00,8.4,86.6,11.2,67.64,9.64,10.06,73.93,0,2016-11-30 0:00,2016-11-29 0:00,,
4,2016-04-01 12:00:00,9.4,93.4,10.9,69.81,9.79,7.71,86.39,0,2016-12-04 6:00,2016-12-03 6:00,,
5,2016-04-01 15:00:00,9.8,91.9,11.6,75.58,9.98,11.37,74.76,0,2016-12-04 9:00,2016-12-03 9:00,,
6,2016-04-01 18:00:00,11.4,73.4,12.8,70.15,10.6,12.38,63.1,0,2016-12-04 12:00,2016-12-03 12:00,,
7,2016-04-01 21:00:00,6.7,85.8,10.9,67.06,9.49,8.63,68.65,0,2016-12-08 3:00,2016-12-07 3:00,,
8,2016-04-02 00:00:00,5.5,93.4,9.8,68.19,8.57,5.91,79.09,0,2016-12-18 6:00,2016-12-17 6:00,,
9,2016-04-02 03:00:00,6.4,93.4,9.9,66.18,8.65,6.31,78.72,0,2016-12-18 9:00,2016-12-17 9:00,,
10,2016-04-02 06:00:00,10.4,84.3,11.0,66.91,8.88,10.18,67.64,0,2016-12-18 12:00,2016-12-17 12:00,,
11,2016-04-02 09:00:00,13.5,81.3,12.8,68.22,9.11,12.38,67.61,0,2016-12-18 15:00,2016-12-17 15:00,,
12,2016-04-02 12:00:00,8.6,92.3,13.1,68.07,9.49,10.37,74.36,0,2016-12-18 18:00,2016-12-17 18:00,,
13,2016-04-02 15:00:00,7.3,93.4,12.3,69.75,9.72,7.01,85.38,0,2016-12-18 21:00,2016-12-17 21:00,,
14,2016-04-02 18:00:00,4.3,93.4,11.2,70.05,9.95,6.31,89.04,0,2016-12-19 0:00,2016-12-18 0:00,,
15,2016-04-02 21:00:00,4.1,93.4,10.5,69.17,9.91,4.14,91.58,0,2016-12-19 3:00,2016-12-18 3:00,,
16,2016-04-03 00:00:00,5.5,93.4,10.6,69.14,9.95,6.03,91.48,0,2016-12-19 6:00,2016-12-18 6:00,,
17,2016-04-03 03:00:00,5.0,93.4,10.0,69.93,9.79,5.51,87.03,0,2016-12-19 9:00,2016-12-18 9:00,,
18,2016-04-03 06:00:00,9.9,82.3,10.6,71.31,9.87,6.4,87.33,0,2016-12-19 12:00,2016-12-18 12:00,,
19,2016-04-03 09:00:00,5.7,93.4,9.3,65.14,9.87,5.91,81.23,0,2016-12-20 9:00,2016-12-19 9:00,,
20,2016-04-03 12:00:00,11.3,76.4,11.3,66.88,10.18,11.28,60.29,0,2016-12-20 12:00,2016-12-19 12:00,,
21,2016-04-03 15:00:00,9.0,93.4,12.8,72.71,10.67,9.94,87.21,0,2016-12-20 18:00,2016-12-19 18:00,,
22,2016-04-03 18:00:00,10.2,93.4,12.8,79.0,10.71,10.4,90.45,0,2016-12-20 21:00,2016-12-19 21:00,,
23,2016-04-03 21:00:00,7.7,93.4,12.9,76.53,11.55,8.57,88.34,0,2016-12-21 6:00,2016-12-20 6:00,,
24,2016-04-04 00:00:00,3.3,88.6,5.7,66.64,2.85,3.28,76.59,0,2017-01-25 22:00,2017-01-24 22:00,,
25,2016-04-04 03:00:00,3.2,86.1,5.7,68.32,2.96,4.63,76.62,0,2017-01-25 23:00,2017-01-24 23:00,,
26,2016-04-04 06:00:00,3.6,87.4,6.1,70.51,3.35,4.51,75.52,0,2017-01-26 0:00,2017-01-25 0:00,,
27,2016-04-04 09:00:00,4.5,93.4,6.4,72.04,3.5,4.54,83.12,0,2017-01-26 1:00,2017-01-25 1:00,,
28,2016-04-04 12:00:00,2.1,93.4,6.6,72.89,4.22,3.28,72.77,0,2017-01-26 3:00,2017-01-25 3:00,,
