일시,기상온도,기상습도,tem_in_loc1,hum_in_loc1,tem_coil_loc1,tem_out_loc1,hum_out_loc1,cond_loc1,24뒤,48뒤
2016-04-01 0:00,6.8,41.2,16,24,11,9,42,0,0,0
2016-04-01 3:00,5.2,52.1,14,28,10,7,59,0,0,0
2016-04-01 6:00,6.8,40.9,13,33,10,6,56,0,0,0
2016-04-01 9:00,13.9,28.9,13,33,10,18,30,0,0,0
2016-04-01 12:00,20.4,17.7,16,28,10,18,20,0,0,0
2016-04-01 15:00,19.8,20.1,18,24,14,17,23,0,0,0
2016-04-01 18:00,17.7,20.6,17,28,14,12,52,0,0,0
2016-04-01 21:00,10.1,52,16,38,12,11,55,0,0,0
2016-04-02 0:00,9.7,46,15,41,12,10,57,0,0,0
2016-04-02 3:00,8.7,54.3,14,41,10,10,54,0,0,0
2016-04-02 6:00,6,63.8,13,38,11,9,52,0,0,0
2016-04-02 9:00,12.7,42.5,14,41,11,17,37,0,0,0
2016-04-02 12:00,20.2,25.6,17,35,13,22,23,0,0,0
2016-04-02 15:00,20.3,29.5,19,32,14,17,42,0,0,0
2016-04-02 18:00,17.1,43.1,19,40,13,17,48,0,0,0
2016-04-02 21:00,12.1,77,17,49,14,12,70,0,0,0
2016-04-03 0:00,9.7,84.5,17,54,14,12,70,0,0,0
2016-04-03 3:00,8.2,92.3,16,58,12,10,81,0,0,0
2016-04-03 6:00,8.2,92.3,15,60,13,11,76,0,0,0
2016-04-03 9:00,9.8,92.3,15,64,13,11,76,0,0,0
2016-04-03 12:00,11.8,72.9,16.1,61,13,13,63,0,0,0
2016-04-03 15:00,11.4,75.9,17,60,14,12,69,0,0,0
2016-04-03 18:00,9.9,70.8,16,50,13,11,62,0,0,0
2016-04-03 21:00,9.6,79.8,16,52,12,11,63,0,0,0
2016-04-04 0:00,8.1,87.8,15,28,11,11,68,0,0,0
2016-04-04 3:00,7.1,90.7,14,30,12,10,74,0,0,0
2016-04-04 6:00,5.7,89,13,37,11,9,78,0,0,0
2016-04-04 9:00,10.6,67.3,13,42,11,18,42,0,0,0
2016-04-04 12:00,16.6,44.5,17,26,14,16,44,0,0,0
2016-04-04 15:00,16.3,40.4,18,25,14,14,42,0,0,0
2016-04-04 18:00,13.6,36.6,18,18,15,13,35,0,0,0
2016-04-04 21:00,9.3,36.9,17,15,16,11,35,0,0,0
2016-04-05 0:00,7.1,45.7,15,21,12,8,44,0,0,0
2016-04-05 3:00,5.3,72.2,14,28,11,6,47,0,0,0
2016-04-05 6:00,4.5,87,13,34,11,6,60,0,0,0
2016-04-05 9:00,10.3,50.9,13,33,12,19,27,0,0,0
2016-04-05 12:00,16.1,18.2,17,30,14,14,42,0,0,0
2016-04-05 15:00,17.2,17.6,18,30,15,14,44,0,0,0
2016-04-05 18:00,14.4,25.5,19,29,15,16,25,0,0,0
2016-04-05 21:00,9.3,31,18,37,15,13,28,0,0,0
2016-04-06 0:00,7.2,46.2,17,53,13,9,32,0,0,0
2016-04-06 3:00,5,58.9,16,62,14,8,40,0,0,0
2016-04-06 6:00,3.9,64.2,16,66,13,6,51,0,0,0
2016-04-06 9:00,11.9,31,16,70,13,11,45,0,0,0
2016-04-06 12:00,18.5,29.6,17,60,14,19,28,0,0,0
2016-04-06 15:00,21,25.9,19,50,16,20,26,0,0,0
2016-04-06 18:00,16.9,26.1,19,49,16,19,33,0,0,0
2016-04-06 21:00,10.1,86.9,17,54,14,14,62,0,0,0
2016-04-07 0:00,9.8,91,16,63,14,12,74,0,0,0
2016-04-07 3:00,9.2,92.3,15,64,14,11,80,0,0,0
2016-04-07 6:00,9.7,92.3,15,62,13,11,83,0,0,0
2016-04-07 9:00,10.5,92.3,14,60,13,11,80,0,0,0
