일시,일시,기온(°C),습도(%),tem_in_loc1,hum_in_loc1,tem_coil_loc1,cond_loc1
2016-04-01 00:00:00,2016-04-01 00:00:00,6.8,41.2,16.0,24.0,11.0,0.0
2016-04-01 03:00:00,2016-04-01 03:00:00,5.2,52.1,14.0,28.0,10.0,0.0
2016-04-01 06:00:00,2016-04-01 06:00:00,6.8,40.9,13.0,33.0,10.0,0.0
2016-04-01 09:00:00,2016-04-01 09:00:00,13.9,28.9,13.0,33.0,10.0,0.0
2016-04-01 12:00:00,2016-04-01 12:00:00,20.4,17.7,16.0,28.0,10.0,0.0
2016-04-01 15:00:00,2016-04-01 15:00:00,19.8,20.1,18.0,24.0,14.0,0.0
2016-04-01 18:00:00,2016-04-01 18:00:00,17.7,20.6,17.0,28.0,14.0,0.0
2016-04-01 21:00:00,2016-04-01 21:00:00,10.1,52.0,16.0,38.0,12.0,0.0
2016-04-02 00:00:00,2016-04-02 00:00:00,9.7,46.0,15.0,41.0,12.0,0.0
2016-04-02 03:00:00,2016-04-02 03:00:00,8.7,54.3,14.0,41.0,10.0,0.0
2016-04-02 06:00:00,2016-04-02 06:00:00,6.0,63.8,13.0,38.0,11.0,0.0
2016-04-02 09:00:00,2016-04-02 09:00:00,12.7,42.5,14.0,41.0,11.0,0.0
2016-04-02 12:00:00,2016-04-02 12:00:00,20.2,25.6,17.0,35.0,13.0,0.0
2016-04-02 15:00:00,2016-04-02 15:00:00,20.3,29.5,19.0,32.0,14.0,0.0
2016-04-02 18:00:00,2016-04-02 18:00:00,17.1,43.1,19.0,40.0,13.0,0.0
2016-04-02 21:00:00,2016-04-02 21:00:00,12.1,77.0,17.0,49.0,14.0,0.0
2016-04-03 00:00:00,2016-04-03 00:00:00,9.7,84.5,17.0,54.0,14.0,0.0
2016-04-03 03:00:00,2016-04-03 03:00:00,8.2,92.3,16.0,58.0,12.0,0.0
2016-04-03 06:00:00,2016-04-03 06:00:00,8.2,92.3,15.0,60.0,13.0,0.0
2016-04-03 09:00:00,2016-04-03 09:00:00,9.8,92.3,15.0,64.0,13.0,0.0
2016-04-03 12:00:00,2016-04-03 12:00:00,11.8,72.9,16.1,61.0,13.0,0.0
2016-04-03 15:00:00,2016-04-03 15:00:00,11.4,75.9,17.0,60.0,14.0,0.0
2016-04-03 18:00:00,2016-04-03 18:00:00,9.9,70.8,16.0,50.0,13.0,0.0
2016-04-03 21:00:00,2016-04-03 21:00:00,9.6,79.8,16.0,52.0,12.0,0.0
2016-04-04 00:00:00,2016-04-04 00:00:00,8.1,87.8,15.0,28.0,11.0,0.0
2016-04-04 03:00:00,2016-04-04 03:00:00,7.1,90.7,14.0,30.0,12.0,0.0
2016-04-04 06:00:00,2016-04-04 06:00:00,5.7,89.0,13.0,37.0,11.0,0.0
2016-04-04 09:00:00,2016-04-04 09:00:00,10.6,67.3,13.0,42.0,11.0,0.0
2016-04-04 12:00:00,2016-04-04 12:00:00,16.6,44.5,17.0,26.0,14.0,0.0
2016-04-04 15:00:00,2016-04-04 15:00:00,16.3,40.4,18.0,25.0,14.0,0.0
2016-04-04 18:00:00,2016-04-04 18:00:00,13.6,36.6,18.0,18.0,15.0,0.0
2016-04-04 21:00:00,2016-04-04 21:00:00,9.3,36.9,17.0,15.0,16.0,0.0
2016-04-05 00:00:00,2016-04-05 00:00:00,7.1,45.7,15.0,21.0,12.0,0.0
2016-04-05 03:00:00,2016-04-05 03:00:00,5.3,72.2,14.0,28.0,11.0,0.0
2016-04-05 06:00:00,2016-04-05 06:00:00,4.5,87.0,13.0,34.0,11.0,0.0
2016-04-05 09:00:00,2016-04-05 09:00:00,10.3,50.9,13.0,33.0,12.0,0.0
2016-04-05 12:00:00,2016-04-05 12:00:00,16.1,18.2,17.0,30.0,14.0,0.0
2016-04-05 15:00:00,2016-04-05 15:00:00,17.2,17.6,18.0,30.0,15.0,0.0
2016-04-05 18:00:00,2016-04-05 18:00:00,14.4,25.5,19.0,29.0,15.0,0.0
2016-04-05 21:00:00,2016-04-05 21:00:00,9.3,31.0,18.0,37.0,15.0,0.0
2016-04-06 00:00:00,2016-04-06 00:00:00,7.2,46.2,17.0,53.0,13.0,0.0
2016-04-06 03:00:00,2016-04-06 03:00:00,5.0,58.9,16.0,62.0,14.0,0.0
2016-04-06 06:00:00,2016-04-06 06:00:00,3.9,64.2,16.0,66.0,13.0,0.0
2016-04-06 09:00:00,2016-04-06 09:00:00,11.9,31.0,16.0,70.0,13.0,0.0
2016-04-06 12:00:00,2016-04-06 12:00:00,18.5,29.6,17.0,60.0,14.0,0.0
2016-04-06 15:00:00,2016-04-06 15:00:00,21.0,25.9,19.0,50.0,16.0,0.0
2016-04-06 18:00:00,2016-04-06 18:00:00,16.9,26.1,19.0,49.0,16.0,0.0
2016-04-06 21:00:00,2016-04-06 21:00:00,10.1,86.9,17.0,54.0,14.0,0.0
2016-04-07 00:00:00,2016-04-07 00:00:00,9.8,91.0,16.0,63.0,14.0,0.0
2016-04-07 03:00:00,2016-04-07 03:00:00,9.2,92.3,15.0,64.0,14.0,0.0
2016-04-07 06:00:00,2016-04-07 06:00:00,9.7,92.3,15.0,62.0,13.0,0.0
2016-04-07 09:00:00,2016-04-07 09:00:00,10.5,92.3,14.0,60.0,13.0,0.0
2016-04-07 12:00:00,2016-04-07 12:00:00,16.1,71.3,16.0,58.0,14.0,0.0
2016-04-07 15:00:00,2016-04-07 15:00:00,17.0,47.2,18.0,52.0,15.0,0.0
2016-04-07 18:00:00,2016-04-07 18:00:00,13.8,69.4,17.0,57.0,15.0,0.0
2016-04-07 21:00:00,2016-04-07 21:00:00,10.6,90.4,15.0,59.0,14.0,0.0
2016-04-08 00:00:00,2016-04-08 00:00:00,8.8,92.3,15.0,62.0,14.0,0.0
2016-04-08 03:00:00,2016-04-08 03:00:00,7.7,92.3,14.0,62.0,12.0,0.0
2016-04-08 06:00:00,2016-04-08 06:00:00,6.9,92.3,14.0,65.0,10.0,0.0
2016-04-08 09:00:00,2016-04-08 09:00:00,8.4,92.3,14.0,70.0,12.0,0.0
2016-04-08 12:00:00,2016-04-08 12:00:00,18.2,57.2,15.0,72.0,13.0,0.0
2016-04-08 15:00:00,2016-04-08 15:00:00,16.7,63.0,16.0,75.0,14.0,0.0
2016-04-08 18:00:00,2016-04-08 18:00:00,9.0,92.0,17.0,69.0,15.0,0.0
2016-04-08 21:00:00,2016-04-08 21:00:00,8.1,92.3,17.0,60.0,14.0,0.0
2016-04-09 00:00:00,2016-04-09 00:00:00,7.7,92.3,16.0,60.0,14.0,0.0
2016-04-09 03:00:00,2016-04-09 03:00:00,7.2,92.3,16.0,65.0,12.0,0.0
2016-04-09 06:00:00,2016-04-09 06:00:00,8.4,92.3,16.0,66.0,13.0,0.0
2016-04-09 09:00:00,2016-04-09 09:00:00,9.3,92.3,15.0,70.0,12.0,0.0
2016-04-09 12:00:00,2016-04-09 12:00:00,12.7,92.3,16.0,68.0,14.0,0.0
2016-04-09 15:00:00,2016-04-09 15:00:00,17.6,71.8,19.0,65.0,15.0,0.0
2016-04-09 18:00:00,2016-04-09 18:00:00,14.1,62.6,18.0,60.0,15.0,0.0
2016-04-09 21:00:00,2016-04-09 21:00:00,10.7,79.5,16.0,61.0,13.0,0.0
2016-04-10 00:00:00,2016-04-10 00:00:00,9.5,92.3,16.0,46.0,12.0,0.0
2016-04-10 03:00:00,2016-04-10 03:00:00,10.1,92.3,16.0,48.0,11.0,0.0
2016-04-10 06:00:00,2016-04-10 06:00:00,9.7,92.3,15.0,56.0,9.0,0.0
2016-04-10 09:00:00,2016-04-10 09:00:00,10.0,92.3,15.0,45.0,13.0,0.0
2016-04-10 12:00:00,2016-04-10 12:00:00,17.2,74.6,17.0,41.0,14.0,0.0
2016-04-10 15:00:00,2016-04-10 15:00:00,18.5,68.2,19.0,38.0,15.0,0.0
2016-04-10 18:00:00,2016-04-10 18:00:00,9.9,92.3,19.0,38.0,16.0,0.0
2016-04-10 21:00:00,2016-04-10 21:00:00,9.2,92.3,18.0,42.0,15.0,0.0
2016-04-11 00:00:00,2016-04-11 00:00:00,8.3,73.0,16.0,46.0,10.0,0.0
2016-04-11 03:00:00,2016-04-11 03:00:00,6.0,79.7,15.0,48.0,9.0,0.0
2016-04-11 06:00:00,2016-04-11 06:00:00,4.6,92.3,15.0,50.0,10.0,0.0
2016-04-11 09:00:00,2016-04-11 09:00:00,9.8,68.0,15.0,49.0,13.0,0.0
2016-04-11 12:00:00,2016-04-11 12:00:00,14.9,40.0,16.0,46.0,14.0,0.0
2016-04-11 15:00:00,2016-04-11 15:00:00,17.7,38.5,18.0,41.0,16.0,0.0
2016-04-11 18:00:00,2016-04-11 18:00:00,14.8,51.4,19.0,41.0,16.0,0.0
2016-04-11 21:00:00,2016-04-11 21:00:00,10.4,72.5,18.0,40.0,15.0,0.0
2016-04-12 00:00:00,2016-04-12 00:00:00,9.5,78.7,17.0,44.0,13.0,0.0
2016-04-12 03:00:00,2016-04-12 03:00:00,8.1,85.6,17.0,50.0,14.0,0.0
2016-04-12 06:00:00,2016-04-12 06:00:00,7.4,84.5,17.0,66.0,13.0,0.0
2016-04-12 09:00:00,2016-04-12 09:00:00,11.7,66.1,16.0,73.0,13.0,0.0
2016-04-12 12:00:00,2016-04-12 12:00:00,16.2,50.9,18.0,78.0,14.0,1.0
2016-04-12 15:00:00,2016-04-12 15:00:00,18.5,41.1,19.0,73.0,16.0,0.0
2016-04-12 18:00:00,2016-04-12 18:00:00,14.7,54.6,19.0,67.0,16.0,0.0
2016-04-12 21:00:00,2016-04-12 21:00:00,11.2,63.7,19.0,60.0,16.0,0.0
2016-04-13 00:00:00,2016-04-13 00:00:00,11.5,64.4,17.0,62.0,14.0,0.0
